herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
MIN	398989	MIN	Wetmore, C.	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.50916667,-102.6122222	854505	S Edge of Park, 5 Mi W of White R.; Badlands National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=398989	COUNTRY	1000
MIN	398990	MIN	Wetmore, C.	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.50916667,-102.6122222	854506	S Edge of Park, 5 Mi W of White R.; Badlands National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=398990	COUNTRY	1000
MIN	398991	MIN	Wetmore, C.	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.50916667,-102.6122222	854507	S Edge of Park, 5 Mi W of White R.; Badlands National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=398991	COUNTRY	1000
MIN	398992	MIN	Wetmore, C.	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.50916667,-102.6122222	854508	S Edge of Park, 5 Mi W of White R.; Badlands National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=398992	COUNTRY	1000
MIN	398993	MIN	Wetmore, C.	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.50916667,-102.6122222	854509	S Edge of Park, 5 Mi W of White R.; Badlands National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=398993	COUNTRY	1000
MIN	398994	MIN	Wetmore, C.	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.50916667,-102.6122222	854510	S Edge of Park, 5 Mi W of White R.; Badlands National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=398994	COUNTRY	1000
MONT	1437432	MONT	Sharon Eversman	South Dakota	Rock	NA	county_not_matched_no_match	county_not_matched	43.85,-103.55	MONT-L-0004551	Sunday Gulch, near Sylvan Lake, Custer State Park, North of Custer	https://lichenportal.org/portal/collections/individual/index.php?occid=1437432	COUNTRY	1000
MONT	1461641	MONT	Sharon Eversman	South Dakota	Rock	NA	county_not_matched_no_match	county_not_matched	43.85,-103.55	MONT-L-0006438	Sunday Gulch near Sylvan Lake, Custer State Park, North of Custer	https://lichenportal.org/portal/collections/individual/index.php?occid=1461641	COUNTRY	1000
SRP	1446349	SRP	J. Looman	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.028,-102.687	SRP-L-0009434	[No locality information given on label.]	https://lichenportal.org/portal/collections/individual/index.php?occid=1446349	COUNTRY	1000
WIS	1004264	WIS	S. Will-Wolf	South Dakota	Shannon	NA	county_not_matched_no_match	county_not_matched	43.675,-102.58333	WIS-L-0013132	Badlands National Park, N1/2 of Cedar Butte, SW of Sheep Mountain	https://lichenportal.org/portal/collections/individual/index.php?occid=1004264	COUNTRY	1000
