error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
STATE	100	ASU	4568744	ASU	T.H. Nash III	Colorado	Summit & Park Counties	312.73	outside_boundary_multi_county_2_of_2	Utah, Emery County	39.366667,-110.05	ASUL008172	Hoosier Pass	https://lichenportal.org/portal/collections/individual/index.php?occid=4568744
STATE	100	ASU	707262	ASU	S. Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.366666666667	ASUL002686	ca. 0.8 km south of the Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=707262
STATE	100	ASU	707280	ASU	S. Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.366666666667	NA	ca. 0.8 km south of the Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=707280
STATE	100	ASU	707283	ASU	S. Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.366666666667	NA	ca. 0.8 km south of the Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=707283
STATE	100	ASU	707301	ASU	S. Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.366666666667	NA	ca. 0.8 km south of the Wyoming State line (just north of Virginia Dale)	https://lichenportal.org/portal/collections/individual/index.php?occid=707301
STATE	100	ASU	76780	ASU	S. Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.3666667	ASUL034281	0.8 km S of Wyoming State Line, just N of Virginia Dale	https://lichenportal.org/portal/collections/individual/index.php?occid=76780
STATE	100	ASU	77375	ASU	S. Shushan	Colorado	Montezuma	7.67	outside_boundary_exact	Utah, San Juan County	37.34762,-109.13315	NA	48 km W of Cortez, vicinity of junction of Yellowjacket and McElmo Creeks	https://lichenportal.org/portal/collections/individual/index.php?occid=77375
STATE	100	ASU	82606	ASU	S. Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.3666667	NA	0.8 km S of Wyoming State Line, just N of Virginia Dale	https://lichenportal.org/portal/collections/individual/index.php?occid=82606
STATE	100	ASU	82643	ASU	S. Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.3666667	NA	0.8 km south of Wyoming State line just north of Virginia Dale	https://lichenportal.org/portal/collections/individual/index.php?occid=82643
STATE	100	ASU	940859	ASU	S. Shushan	Colorado	Larimer	0.24	outside_boundary_exact	Wyoming, Albany County	41,-105.3666667	NA	0.8 km S of Wyoming State Line, just N of Virginia Dale	https://lichenportal.org/portal/collections/individual/index.php?occid=940859
STATE	100	BRY	1075936	BRY	Larry L. St. Clair	Colorado	Summit	357.93	outside_boundary_exact	Utah, Summit County	40.871944,-110.5	BRY-L-0000437	Roosevelt National Forest: 0.75 km NE of Bald Mountain Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=1075936
STATE	100	BRY	1076298	BRY	Larry L. St. Clair	Colorado	Summit	356.99	outside_boundary_exact	Utah, Summit County	40.845,-110.498611	BRY-L-0000800	2.6 km SE of Bald Mountain Peak; Along east side of Ridge.	https://lichenportal.org/portal/collections/individual/index.php?occid=1076298
STATE	100	BRY	1076302	BRY	Larry L. St. Clair	Colorado	San Juan	137.9	outside_boundary_exact	Utah, San Juan County	38.441667,-109.231667	BRY-L-0000804	Mt. Peale; 14.5 km north of LaSal; 3.2 km NE of Medicine Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1076302
STATE	100	BRY	1076469	BRY	Larry L. St. Clair	Colorado	San Juan	137.9	outside_boundary_exact	Utah, San Juan County	38.441667,-109.231667	BRY-L-0000968	Mount Peale; 14.5 km north of LaSal; 3.2 NE of Medicine Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1076469
STATE	100	BRY	1077580	BRY	Larry L. St. Clair	Colorado	San Juan	137.9	outside_boundary_exact	Utah, San Juan County	38.441667,-109.231667	BRY-L-0002076	Mount Peale; 14.5 km north of LaSal; 3.2 NE of Medicine Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1077580
STATE	100	BRY	1078039	BRY	Larry L. St. Clair	Colorado	Summit	357.93	outside_boundary_exact	Utah, Summit County	40.871944,-110.5	BRY-L-0002532	.75 km NE of Bald Mountain Peak.	https://lichenportal.org/portal/collections/individual/index.php?occid=1078039
STATE	100	BRY	1078041	BRY	Larry L. St. Clair	Colorado	Summit	357.02	outside_boundary_exact	Utah, Summit County	40.8525,-110.496111	BRY-L-0002534	1.5 km SE of Bald Mountain Peak.	https://lichenportal.org/portal/collections/individual/index.php?occid=1078041
STATE	100	BRY	1078127	BRY	Larry L. St. Clair	Colorado	Summit	357.93	outside_boundary_exact	Utah, Summit County	40.871944,-110.5	BRY-L-0002620	0.75 km NE of Bald Mountain Peak.	https://lichenportal.org/portal/collections/individual/index.php?occid=1078127
STATE	100	BRY	1078447	BRY	Larry L. St. Clair	Colorado	San Juan	137.9	outside_boundary_exact	Utah, San Juan County	38.441667,-109.231667	BRY-L-0002937	Mt. Peale, 14.5 km north of LaSal, 3.2 km NE of Medicine Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1078447
STATE	100	BRY	1080497	BRY	D. L. Denham	Colorado	Yuma	0.14	outside_boundary_exact	Kansas, Cheyenne County	39.95,-102.05	BRY-L-0004987	Jones Ranch vicinity: Bluff overlooking the south bank of the Arikaree River on the Jones Ranch	https://lichenportal.org/portal/collections/individual/index.php?occid=1080497
STATE	100	BRY	1080562	BRY	Sam Shushan	Colorado	Boulder	331.92	outside_boundary_exact	Wyoming, Converse County	43.229167,-105.35	BRY-L-0005052	Roosevelt National Forest vicinity (just outside park): Longmont Reservoir, 3.5 miles west of Lyons, just east of Longmont Reservoir along North St. Vrain Creek	https://lichenportal.org/portal/collections/individual/index.php?occid=1080562
STATE	100	BRY	1217130	BRY	Sam Shushan	Colorado	Boulder	811.14	outside_boundary_exact	Nevada, White Pine County	39.958333,-115.277778	BRY-L-0008554	Boulder vicinity: about 2 miles south of Boulder along Mesa Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=1217130
STATE	100	BRY	1217926	BRY	Larry L. St. Clair	Colorado	San Juan	137.31	outside_boundary_exact	Utah, San Juan County	38.413333,-109.25	BRY-L-0009410	Medicine Lake, 12 km north of LaSal, 3.2 km SW of Mount Peale	https://lichenportal.org/portal/collections/individual/index.php?occid=1217926
STATE	100	BRY	1219403	BRY	Larry L. St. Clair	Colorado	Summit	356.32	outside_boundary_exact	Utah, Summit County	40.845,-110.490278	BRY-L-0010860	Pike National Forest: 2.6 km SE of Bald Mountain Peak, along east side of ridge	https://lichenportal.org/portal/collections/individual/index.php?occid=1219403
STATE	100	BRY	1278672	BRY	Larry P. Gough	Colorado	Denver	498.33	outside_boundary_exact	Nebraska, Sherman County	41.1564,-98.9079	BRY-L-0012721	Red Dog Hill vicinity: Exposed summit of Red Dog Hill near site 102111. Tyonek b-5 quad	https://lichenportal.org/portal/collections/individual/index.php?occid=1278672
STATE	100	BRY	1288630	BRY	Thomas H. Nash	Colorado	San Juan	580.74	outside_boundary_exact	Arizona, Yavapai County	34.533333,-113.183333	BRY-L-0013715	Mesa Verde National park, Upper Fewkes Canyon	https://lichenportal.org/portal/collections/individual/index.php?occid=1288630
STATE	100	BRY	1300883	BRY	Larry L. St. Clair	Colorado	San Juan	137.9	outside_boundary_exact	Utah, San Juan County	38.441667,-109.231667	BRY-L-0014801	Mount Peale: 14.5 km north of La Sal: 3.2 km NE of Medicine Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1300883
STATE	100	BRY	1308387	BRY	Larry L. St. Clair	Colorado	Summit	357.02	outside_boundary_exact	Utah, Summit County	40.8525,-110.496111	BRY-L-0015041	Bald Mountain Peak: 1.5 km SE of Bald Mountain Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=1308387
STATE	100	BRY	1308538	BRY	Larry P. Gough	Colorado	Eagle	3538.57	outside_boundary_exact	Alaska, Southeast Fairbanks County	64.791667,-141.211111	BRY-L-0015192	Eagle: Eagle Bluffs: about 1 mile west of Eagle on SW-facing 40° slope of Eagle Bluffs	https://lichenportal.org/portal/collections/individual/index.php?occid=1308538
STATE	100	BRY	1317362	BRY	Larry L. St. Clair	Colorado	Summit	356.99	outside_boundary_exact	Utah, Summit County	40.845,-110.498611	BRY-L-0016382	Pike National Forest: 2.6 km SE of Bald Mountain Peak, along east side of ridge	https://lichenportal.org/portal/collections/individual/index.php?occid=1317362
STATE	100	BRY	1343788	BRY	Sam Shushan	Colorado	Eagle	3538.57	outside_boundary_exact	Alaska, Southeast Fairbanks County	64.791667,-141.211111	BRY-L-0017051	Eagle: Eagle Bluffs: about 1 mile west of Eagle on SW-facing 40° slope of Eagle Bluffs	https://lichenportal.org/portal/collections/individual/index.php?occid=1343788
STATE	100	BRY	1343837	BRY	Larry L. St. Clair	Colorado	San Juan	137.9	outside_boundary_exact	Utah, San Juan County	38.441667,-109.231667	BRY-L-0017101	Mount Peale: 14.5 km north of La Sal: 3.2 km NE of Medicine Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1343837
STATE	100	BRY	1370150	BRY	Sam Shushan	Colorado	Weld	399.22	outside_boundary_exact	South Dakota, Lawrence County	44.575,-103.655556	BRY-L-0019333	Prewitt Reservoir vicinity: 30 miles NNE of Fort Morgan	https://lichenportal.org/portal/collections/individual/index.php?occid=1370150
STATE	100	BRY	1370229	BRY	Larry L. St. Clair	Colorado	Summit	356.99	outside_boundary_exact	Utah, Summit County	40.845,-110.498611	BRY-L-0019413	Pike National Forest: 2.6 km SE of Bald Mountain Peak, along east side of ridge	https://lichenportal.org/portal/collections/individual/index.php?occid=1370229
STATE	100	BRY	1370230	BRY	Larry L. St. Clair	Colorado	Summit	357.93	outside_boundary_exact	Utah, Summit County	40.871944,-110.5	BRY-L-0019414	Roosevelt National Forest: 0.75 km NE of Bald Mountain Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=1370230
STATE	100	BRY	1370231	BRY	Larry L. St. Clair	Colorado	Summit	357.02	outside_boundary_exact	Utah, Summit County	40.8525,-110.496111	BRY-L-0019415	Bald Mountain Peak: 1.5 km SE of Bald Mountain Peak	https://lichenportal.org/portal/collections/individual/index.php?occid=1370231
STATE	100	BRY	1370232	BRY	Larry L. St. Clair	Colorado	San Juan	137.9	outside_boundary_exact	Utah, San Juan County	38.441667,-109.231667	BRY-L-0019416	Mount Peale: 14.5 km north of La Sal: 3.2 km NE of Medicine Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1370232
STATE	100	BRY	1370240	BRY	Jane Rimmer	Colorado	Clear Creek	654.33	outside_boundary_exact	Kansas, Cloud County	39.6468,-97.6972	BRY-L-0019424	Arapaho National Forest: 4.8 miles up Mount Evans Road from Colo. 103, on rocky tundra ridge	https://lichenportal.org/portal/collections/individual/index.php?occid=1370240
STATE	100	BRY	1423061	BRY	Larry L. St. Clair	Colorado	Summit	356.99	outside_boundary_exact	Utah, Summit County	40.845,-110.498611	BRY-L-0016499	Pike National Forest: 2.6 km SE of Bald Mountain Peak, along east side of ridge	https://lichenportal.org/portal/collections/individual/index.php?occid=1423061
STATE	100	BRY	1423063	BRY	Larry L. St. Clair	Colorado	San Juan	137.9	outside_boundary_exact	Utah, San Juan County	38.441667,-109.231667	BRY-L-0016501	Mount Peale: 14.5 km north of La Sal: 3.2 km NE of Medicine Lake	https://lichenportal.org/portal/collections/individual/index.php?occid=1423063
