error_type	priority	herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTRY	1000	BRY	1774192	BRY	Larry L. St. Clair	Wyoming	Sublette	5261.14	outside_boundary_exact	not_found_in_US	43.0032,-43.0142	BRY-L-0021269	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, along trail to Hobbs Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774192
COUNTRY	1000	BRY	1774199	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022376	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774199
COUNTRY	1000	BRY	1774242	BRY	Larry L. St. Clair	Wyoming	Sublette	5261.14	outside_boundary_exact	not_found_in_US	43.0032,-43.0142	BRY-L-0021271	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, along trail to Hobbs Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774242
COUNTRY	1000	BRY	1774261	BRY	Larry L. St. Clair	Wyoming	Sublette	5261.14	outside_boundary_exact	not_found_in_US	43.0032,-43.0142	BRY-L-0021016	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, along trail to Hobbs Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774261
COUNTRY	1000	BRY	1774309	BRY	Larry L. St. Clair	Wyoming	Sublette	5261.14	outside_boundary_exact	not_found_in_US	43.0032,-43.0142	BRY-L-0021018	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, along trail to Hobbs Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774309
COUNTRY	1000	BRY	1774310	BRY	Larry L. St. Clair	Wyoming	Sublette	5261.14	outside_boundary_exact	not_found_in_US	43.0032,-43.0142	BRY-L-0021017	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, along trail to Hobbs Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774310
COUNTRY	1000	BRY	1774350	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022358	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774350
COUNTRY	1000	BRY	1774358	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022366	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774358
COUNTRY	1000	BRY	1774367	BRY	Larry L. St. Clair	Wyoming	Sublette	5261.14	outside_boundary_exact	not_found_in_US	43.0032,-43.0142	BRY-L-0021264	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, along trail to Hobbs Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774367
COUNTRY	1000	BRY	1774396	BRY	Larry L. St. Clair	Wyoming	Sublette	5261.14	outside_boundary_exact	not_found_in_US	43.0032,-43.0142	BRY-L-0021268	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, along trail to Hobbs Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774396
COUNTRY	1000	BRY	1774420	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022273	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774420
COUNTRY	1000	BRY	1774422	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022275	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774422
COUNTRY	1000	BRY	1774423	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022276	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774423
COUNTRY	1000	BRY	1774424	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022277	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774424
COUNTRY	1000	BRY	1774425	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022278	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774425
COUNTRY	1000	BRY	1774426	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022279	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774426
COUNTRY	1000	BRY	1774427	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022280	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774427
COUNTRY	1000	BRY	1774429	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022282	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774429
COUNTRY	1000	BRY	1774430	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022283	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774430
COUNTRY	1000	BRY	1774431	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022284	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774431
COUNTRY	1000	BRY	1774432	BRY	Larry L. St. Clair	Wyoming	Sublette	5292.98	outside_boundary_exact	not_found_in_US	42.723983,-42.735717	BRY-L-0022285	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774432
COUNTRY	1000	BRY	1774434	BRY	NA	Wyoming	Sublette	5261.14	outside_boundary_exact	not_found_in_US	43.0032,-43.0142	BRY-L-0022447	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, along trail to Hobbs Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774434
COUNTRY	1000	BRY	1774435	BRY	NA	Wyoming	Sublette	5261.14	outside_boundary_exact	not_found_in_US	43.0032,-43.0142	BRY-L-0022448	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, along trail to Hobbs Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774435
COUNTRY	1000	BRY	1774436	BRY	NA	Wyoming	Sublette	5261.14	outside_boundary_exact	not_found_in_US	43.0032,-43.0142	BRY-L-0022449	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, along trail to Hobbs Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774436
COUNTRY	1000	BRY	1774465	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022291	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774465
COUNTRY	1000	BRY	1774487	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0025912	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774487
COUNTRY	1000	BRY	1774555	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022292	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774555
COUNTRY	1000	BRY	1774612	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022300	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774612
COUNTRY	1000	BRY	1774621	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022306	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774621
COUNTRY	1000	BRY	1774761	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022340	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774761
COUNTRY	1000	BRY	1774796	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0025877	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774796
COUNTRY	1000	BRY	1774801	BRY	Larry L. St. Clair	Wyoming	Sublette	3588.17	outside_boundary_exact	not_found_in_US	9.256967,-109.245233	BRY-L-0025878	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774801
COUNTRY	1000	BRY	1774823	BRY	Larry L. St. Clair	Wyoming	Sublette	5261.14	outside_boundary_exact	not_found_in_US	43.0032,-43.0142	BRY-L-0021021	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, along trail to Hobbs Lake.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774823
COUNTRY	1000	BRY	1774842	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0022364	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1774842
COUNTRY	1000	BRY	1832424	BRY	Larry L. St. Clair	Wyoming	Sublette	5296.03	outside_boundary_exact	not_found_in_US	42.696583,-42.70955	BRY-L-0028801	Bridger-Teton National Forest: Bridger Wilderness Area, Wind River Range, Big Sandy Lake Trail.	https://lichenportal.org/portal/collections/individual/index.php?occid=1832424
COUNTRY	1000	IDS	2571691	IDS	K. Dillman	Wyoming	Yellowstone	NA	county_not_matched_no_match	county_not_matched	45,-111	IDS-L-0001271	Yellowstone National Park, west entrance	https://lichenportal.org/portal/collections/individual/index.php?occid=2571691
