error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTY	10	ILLS	2702784	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	4.03	outside_boundary_exact	New Hampshire, Grafton County	44.151194,-71.416878	ILLS00006892	White Mountain National Forest, Base road	https://lichenportal.org/portal/collections/individual/index.php?occid=2702784
COUNTY	10	ILLS	2703194	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	4.03	outside_boundary_exact	New Hampshire, Grafton County	44.151194,-71.416878	ILLS00010651	White Mountain National Forest, Madison Hut Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2703194
COUNTY	10	ILLS	2703263	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	4.03	outside_boundary_exact	New Hampshire, Grafton County	44.151194,-71.416878	ILLS00089021	White Mountain National Forest, Madison Hut Trail	https://lichenportal.org/portal/collections/individual/index.php?occid=2703263
COUNTY	10	ILLS	2707721	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	4.03	outside_boundary_exact	New Hampshire, Grafton County	44.151194,-71.416878	ILLS00006895	White Mountain National Forest, Forest Park Road	https://lichenportal.org/portal/collections/individual/index.php?occid=2707721
COUNTY	10	ILLS	2709543	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	4.03	outside_boundary_exact	New Hampshire, Grafton County	44.151194,-71.416878	ILLS00091245	White Mountain National Forest, Forest Park Road.	https://lichenportal.org/portal/collections/individual/index.php?occid=2709543
COUNTY	10	ILLS	2709553	J.L. Crane & J.D. Schoknecht	New Hampshire	Coos	4.03	outside_boundary_exact	New Hampshire, Grafton County	44.151194,-71.416878	ILLS00006894	White Mountain National Forest, Forest Park Road	https://lichenportal.org/portal/collections/individual/index.php?occid=2709553
COUNTY	10	YPM	1652881	H. Mann	New Hampshire	Coos	2.79	outside_boundary_exact	New Hampshire, Grafton County	44.183677,-71.421466	YU.237777	White Mountains, Willey Notch	https://lichenportal.org/portal/collections/individual/index.php?occid=1652881
COUNTY	10	ILLS	2709595	J.L. Crane	New Hampshire	Carroll	2.07	outside_boundary_exact	New Hampshire, Coos County	44.26007,-71.2016	ILLS00097243	Wildcat Ridge Trail (Appalachian Trail). Wildcat Mountain, Jackson. NAD 27, UTM Zone 19, 322409mE, 4902108mN.	https://lichenportal.org/portal/collections/individual/index.php?occid=2709595
COUNTY	10	ILLS	2709596	J.L. Crane	New Hampshire	Carroll	2.07	outside_boundary_exact	New Hampshire, Coos County	44.26007,-71.2016	ILLS00004938	Wildcat Ridge Trail (Appalachian Trail). Wildcat Mountain, Jackson.	https://lichenportal.org/portal/collections/individual/index.php?occid=2709596
COUNTY	10	ILLS	2709523	J.L. Crane & J.D. Schoknecht	New Hampshire	Carroll	1.97	outside_boundary_exact	New Hampshire, Coos County	44.25906,-71.20101	ILLS00092545	Wildcat Ridge Trail (Appalachian Trail). Wildcat Mountain, Jackson.	https://lichenportal.org/portal/collections/individual/index.php?occid=2709523
COUNTY	10	ILLS	2709620	J.L. Crane	New Hampshire	Carroll	1.54	outside_boundary_exact	New Hampshire, Coos County	44.2564,-71.2225	ILLS00010361	Wildcat Ridge Trail (Appalachian Trail). Wildcat Mountain, Jackson. (NAD 27) UTM Zone 19, 322577mE, 4902760mN.	https://lichenportal.org/portal/collections/individual/index.php?occid=2709620
COUNTY	10	ILLS	2702906	J.L. Crane	New Hampshire	Grafton	1.41	outside_boundary_exact	New Hampshire, Coos County	44.207422,-71.39954	ILLS00008521	White Mountain National Forest, Silver Cascade	https://lichenportal.org/portal/collections/individual/index.php?occid=2702906
COUNTY	10	ILLS	2702994	J.L. Crane & J.D. Schoknecht	New Hampshire	Grafton	1.41	outside_boundary_exact	New Hampshire, Coos County	44.20733,-71.39954	ILLS00009211	White Mountain National Forest, Boreal Forest, Silver Cascade	https://lichenportal.org/portal/collections/individual/index.php?occid=2702994
COUNTY	10	ILLS	2703968	J.L. Crane & J.D. Schoknecht	New Hampshire	Grafton	1.41	outside_boundary_exact	New Hampshire, Coos County	44.20733,-71.39954	ILLS00094144	White Mountain National Forest, Boreal Forest, Silver Cascade	https://lichenportal.org/portal/collections/individual/index.php?occid=2703968
COUNTY	10	ILLS	2704094	J.L. Crane & J.D. Schoknecht	New Hampshire	Grafton	1.41	outside_boundary_exact	New Hampshire, Coos County	44.20733,-71.39954	ILLS00099162	White Mountain National Forest, Boreal Forest, Silver Cascade	https://lichenportal.org/portal/collections/individual/index.php?occid=2704094
