Category	Entity	Total_Records	Records_Analyzed	Pct_Analyzed	Violations	Pct_Violations	Dist_Min_km	Dist_Q1_km	Dist_Median_km	Dist_Q3_km	Dist_Max_km	Dist_Mean_km
states	Alabama		17584	73	354	2.0	0.00	0.00	0.48	5.12	4566.02	30.55
states	Alaska		73127	70	5064	6.9	0.00	0.00	0.40	31.47	6273.64	76.14
states	Arizona		41811	82	1574	3.8	0.00	0.90	7.63	26.20	8650.30	154.97
states	Arkansas		10284	73	39	0.4	0.21	1.28	6.07	134.28	13552.38	404.69
states	California		91731	53	3714	4.0	0.00	2.20	23.23	124.30	14032.38	345.31
states	Colorado		36825	52	2603	7.1	0.00	0.28	5.67	67.21	11583.16	323.06
states	Connecticut		5432	51	41	0.8	0.00	0.00	0.25	69.67	3890.13	179.25
states	Delaware		1725	79	8	0.5	0.00	42.43	82.23	89.01	4999.05	667.37
states	Florida		36825	57	2579	7.0	0.00	0.00	1.05	9.76	15212.23	372.75
states	Georgia		25267	81	594	2.4	0.00	0.60	3.81	32.70	13582.83	341.59
states	Hawaii		5675	38	258	4.5	0.00	0.00	4174.26	4896.66	4913.32	2491.99
states	Idaho		25632	77	1563	6.1	0.00	1.81	9.78	106.58	12278.24	150.71
states	Illinois		14562	75	561	3.9	0.00	0.00	0.54	30.70	12769.97	83.03
states	Indiana		3238	59	61	1.9	0.00	0.05	9.86	81.53	13692.39	1011.49
states	Iowa		13389	59	169	1.3	0.00	0.00	0.96	42.75	12516.75	734.49
states	Kansas		12336	89	260	2.1	0.00	33.89	64.61	94.48	4660.90	90.03
states	Kentucky		6471	71	155	2.4	0.00	0.00	1.38	8.37	265.25	20.46
states	Louisiana		20459	69	909	4.4	0.00	2.93	8.20	8.20	8044.69	92.68
states	Maine		17966	31	395	2.2	0.00	1.08	3.93	66.36	9855.91	213.50
states	Maryland		7231	42	41	0.6	0.00	0.26	2.58	10.44	325.84	19.23
states	Massachusetts		8999	31	314	3.5	0.00	1.85	39.01	148.19	10824.12	862.01
states	Michigan		49517	77	1480	3.0	0.00	4.95	41.91	171.85	11686.31	369.36
states	Minnesota		42454	65	1259	3.0	0.00	0.77	4.98	67.41	11664.77	567.06
states	Mississippi		3939	65	45	1.1	0.00	1.64	13.16	55.53	6405.32	200.38
states	Missouri		18581	75	366	2.0	0.00	2.43	42.80	248.35	13382.82	208.59
states	Montana		23791	71	1649	6.9	0.00	0.51	4.41	15.88	10377.60	185.05
states	Nebraska		4442	48	109	2.5	0.00	35.16	47.71	47.71	10166.52	154.56
states	Nevada		14884	91	134	0.9	0.00	1.03	1.70	5.95	10387.79	237.12
states	New_Hampshire		384	28	148	38.5	0.00	1.15	19.78	15745.88	15745.88	5383.84
states	New_Jersey		11195	69	93	0.8	0.00	0.23	2.34	12.57	7343.91	492.35
states	New_York		12988	33	314	2.4	0.00	0.40	2.40	50.61	4567.27	122.14
states	North_Carolina		68306	77	2373	3.5	0.00	0.01	0.21	12.40	12847.12	100.33
states	North_Dakota		12388	86	176	1.4	0.00	3.23	10.20	66.11	2413.63	67.30
states	Ohio		11446	47	234	2.0	0.00	0.77	2.28	89.36	12262.92	476.25
states	Oklahoma		4772	74	149	3.1	0.00	2.35	19.39	75.34	13366.02	416.49
states	Oregon		84855	79	3995	4.7	0.00	0.58	2.56	27.02	13173.23	76.32
states	Pennsylvania		17939	75	368	2.1	0.00	0.73	13.69	61.55	11275.93	328.47
states	Rhode_Island		433	96	3	0.7	1.48	1.48	46.10	109.43	109.43	52.34
states	South_Carolina		9699	50	142	1.5	0.00	15.51	58.99	171.36	3206.21	130.32
states	South_Dakota		14370	76	538	3.7	0.00	0.00	0.00	8.79	10753.62	126.79
states	Tennessee		25459	77	791	3.1	0.00	0.02	0.51	18.76	790.73	40.43
states	Texas		11147	49	481	4.3	0.00	0.56	2.22	30.95	6070.14	93.30
states	Utah		13353	75	694	5.2	0.00	0.43	1.39	12.94	10643.71	183.99
states	Vermont		6929	42	298	4.3	0.00	0.28	0.33	35.05	10679.93	91.55
states	Virginia		16732	51	279	1.7	0.00	0.02	0.12	4.09	12802.97	298.66
states	Washington		72281	76	3380	4.7	0.00	0.48	1.41	5.88	8705.61	87.16
states	West_Virginia		9625	40	111	1.2	0.00	0.04	0.15	0.27	853.37	9.90
states	Wisconsin		25138	75	684	2.7	0.00	0.30	8.72	38.34	8705.68	486.21
states	Wyoming		14085	78	505	3.6	0.00	9.89	78.00	5261.14	10649.82	1840.69
