herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
UCR(temp)	2592978	UCR(temp)	James Lendemer	New Jersey	Burlington	7343.91	outside_boundary_exact	not_found_in_US	39.62672,15.374096	SBBG008003L	Wharton State Forest, Sweetwater, c. 2.8km SE of Batsto, along Pleasant Mills Rd, several hundred yrds from the N shore of the Mullica River	https://lichenportal.org/portal/collections/individual/index.php?occid=2592978	COUNTRY	1000
UCR(temp)	2597197	UCR(temp)	James Lendemer	New Jersey	Burlington	7343.91	outside_boundary_exact	not_found_in_US	39.62672,15.374096	SBBG008002L	Warren Grove Bombing Range, ~1.25 miles west of Sim Place, vicinity of old hunting cabin, south of Oswego River	https://lichenportal.org/portal/collections/individual/index.php?occid=2597197	COUNTRY	1000
PH	1741197	PH	James C. Lendemer	New Jersey	Cumberland	5019.78	outside_boundary_exact	not_found_in_US	39.30333,-15.07722	PH00094610	North of railroad tracks crossing NJ Route #555, west of Dividing Creek Station, Edward Bevin Wildlife Management Area.	https://lichenportal.org/portal/collections/individual/index.php?occid=1741197	COUNTRY	1000
OSC	5829143	OSC	James C. Lendemer	New Jersey	Burlington	4069.63	outside_boundary_exact	not_found_in_US	74.548333,-39.814722	107703	West of Chatsworth Lake along NJ Route 532, ca 3/4 mi west of Chatsworth	https://lichenportal.org/portal/collections/individual/index.php?occid=5829143	COUNTRY	1000
CHRB	1387092	CHRB	Erica M. Frank	New Jersey	Warren	3966.87	outside_boundary_exact	not_found_in_US	74.933333,-40.908333	CHRB-L-0000822	Jenny Jump, Freylingheusen Twp.	https://lichenportal.org/portal/collections/individual/index.php?occid=1387092	COUNTRY	1000
CHRB	1413255	CHRB	Erica M. Frank	New Jersey	Sussex	3919.18	outside_boundary_exact	not_found_in_US	74.85,-41.133333	CHRB-L-0001849	Quick Pond	https://lichenportal.org/portal/collections/individual/index.php?occid=1413255	COUNTRY	1000
CHRB	1413643	CHRB	Erica M. Frank	New Jersey	Sussex	3919.18	outside_boundary_exact	not_found_in_US	74.85,-41.133333	CHRB-L-0002237	QUick Pond	https://lichenportal.org/portal/collections/individual/index.php?occid=1413643	COUNTRY	1000
UCR(temp)	2592976	UCR(temp)	James Lendemer	New Jersey	Burlington	3811.29	outside_boundary_exact	not_found_in_US	3.96839,-74.710784	SBBG001993L	Sweetwater, c. 2.8km SE of Batsto, along Pleasant Mills Rd, several hundred yards from the N shore of the Mullica River	https://lichenportal.org/portal/collections/individual/index.php?occid=2592976	COUNTRY	1000
CHRB	1412977	CHRB	Erica M. Frank	New Jersey	Sussex	2777.13	outside_boundary_exact	not_found_in_US	41.133333,-40.833333	CHRB-L-0001571	Tillman's Ravime, Stokes State Forest, Sandyston Twp.	https://lichenportal.org/portal/collections/individual/index.php?occid=1412977	COUNTRY	1000
OMA	803746	OMA	NA	New Jersey	Burlington	1097.18	outside_boundary_exact	not_found_in_US	29.722778,-74.685556	12735	Batsto Natural Area, Wharton State Forest; 2.25 miles SE of Atsion	https://lichenportal.org/portal/collections/individual/index.php?occid=803746	COUNTRY	1000
OSC	5417564	OSC	James Lendemer	New Jersey	Burlington	615.99	outside_boundary_exact	not_found_in_US	45.7,-74.693333	124184	Along Hampton Road ca. 2.5 miles northeast of Atsion Wharton State Forest	https://lichenportal.org/portal/collections/individual/index.php?occid=5417564	COUNTRY	1000
CHRB	1413216	CHRB	Erica M. Frank	New Jersey	Morris	528.49	outside_boundary_exact	not_found_in_US	45.816667,-74.816667	CHRB-L-0001810	Heath Village Property, near Hackettstown, Washington Twp.	https://lichenportal.org/portal/collections/individual/index.php?occid=1413216	COUNTRY	1000
CHRB	1386865	CHRB	Erica M. Frank	New Jersey	Monmouth	76.13	outside_boundary_exact	not_found_in_US	40.2,-73	CHRB-L-0000595	Shark River, Near Belmar	https://lichenportal.org/portal/collections/individual/index.php?occid=1386865	COUNTRY	1000
CHRB	1387066	CHRB	Erica M. Frank	New Jersey	Monmouth	76.13	outside_boundary_exact	not_found_in_US	40.2,-73	CHRB-L-0000796	Shark River, Near Belmar	https://lichenportal.org/portal/collections/individual/index.php?occid=1387066	COUNTRY	1000
PH	1091400	PH	James C. Lendemer	New Jersey	Atlantic	47.84	outside_boundary_exact	not_found_in_US	39,-74	PH00008621	Several yards south of NJ Route #561, ca. 1/2 mile northeast of Germania, southeast of Egg Harbor City, Nature Conservancy Reserve	https://lichenportal.org/portal/collections/individual/index.php?occid=1091400	COUNTRY	1000
CHRB	1387015	CHRB	Erica M. Frank	New Jersey	Neptune	NA	county_not_matched_no_match	county_not_matched	40.2,-74.083333	CHRB-L-0000745	Shark River, 3 mi. Neptune city	https://lichenportal.org/portal/collections/individual/index.php?occid=1387015	COUNTRY	1000
CHRB	1387098	CHRB	Erica M. Frank	New Jersey	Neptune	NA	county_not_matched_no_match	county_not_matched	74.083333,-40.2	CHRB-L-0000828	Shark River, 3 mi. W of Neptune City	https://lichenportal.org/portal/collections/individual/index.php?occid=1387098	COUNTRY	1000
OSC	4425449	OSC	James C. Lendemer	New Jersey	Pocahontas	NA	county_not_matched_no_match	county_not_matched	38.199973,-80.252332	171691	Along Yew Creek, Cranberry Glades Natural Area, Cranberry Wilderness, Monongahela National Forest.	https://lichenportal.org/portal/collections/individual/index.php?occid=4425449	COUNTRY	1000
CMN	3320691	CMN	Culberson, William L.	New Jersey	Burlington Co.	444.57	outside_boundary_exact	West Virginia, Pocahontas County	38.4203,-79.8317	CANL 111901	Between Green Bank and Chatsworth, on NJ 563.	https://lichenportal.org/portal/collections/individual/index.php?occid=3320691	STATE	100
CHRB	1482136	CHRB	Erica M. Frank	New Jersey	Warren	198.82	outside_boundary_exact	New York, Otsego County	42.866667,-74.783333	CHRB-L-0002588	Stephens State Park, Mt. Olive Township	https://lichenportal.org/portal/collections/individual/index.php?occid=1482136	STATE	100
SBBG	154283	SBBG	J. Lendemer	New Jersey	Cumberland	98.92	outside_boundary_exact	Pennsylvania, Bucks County	40.441667,-75.265833	NA	Nature Conserfvancy prperty boundary,	https://lichenportal.org/portal/collections/individual/index.php?occid=154283	STATE	100
CHRB	1413618	CHRB	Erica M. Frank	New Jersey	Warren	60.07	outside_boundary_exact	Pennsylvania, Schuylkill County	40.75,-75.916667	CHRB-L-0002212	Jenny Jump, Freylingheusen Twp.	https://lichenportal.org/portal/collections/individual/index.php?occid=1413618	STATE	100
CHRB	1413623	CHRB	Erica M. Frank	New Jersey	Warren	60.07	outside_boundary_exact	Pennsylvania, Schuylkill County	40.75,-75.916667	CHRB-L-0002217	Jenny Jump, Freylingheusen Twp.	https://lichenportal.org/portal/collections/individual/index.php?occid=1413623	STATE	100
CHRB	1413632	CHRB	Erica M. Frank	New Jersey	Warren	60.07	outside_boundary_exact	Pennsylvania, Schuylkill County	40.75,-75.916667	CHRB-L-0002226	Jenny Jump, Freylinghuysen Township	https://lichenportal.org/portal/collections/individual/index.php?occid=1413632	STATE	100
