institutionCode	distance_km	recordedBy	stateProvince	county	coordinates	catalogNumber	implied_location	locality	occurrenceID	status	record_link
ASU	4.45	Clifford M. Wetmore	Minnesota	Cook	47.6383333,-91.0811111	NA	Minnesota, Lake County	Superior National Forest, Wanless Creek, 19 km WNW of Tofte	60339	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=60339
ASU	4.45	Clifford M. Wetmore	Minnesota	Cook	47.6383333,-91.0811111	ASUL013451	Minnesota, Lake County	Superior National Forest, Wanless Creek, 19 km WNW of Tofte	71051	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=71051
ASU	4.45	Clifford M. Wetmore	Minnesota	Cook	47.6383333,-91.0811111	NA	Minnesota, Lake County	Superior National Forest, Wanless Creek, 19 km WNW of Tofte	96244	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=96244
ASU	3.83	Clifford M. Wetmore	Minnesota	Koochiching	48.30805556,-94.47611111	NA	Minnesota, Beltrami County	Red Lake Peatlands, 47 km SSE of Baudette, E of highway 72, Sec. 19 T156N R29W	83428	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=83428
ASU	3.42	Clifford M. Wetmore	Minnesota	Washington	44.99416667,-92.72638889	ASUL008970	Wisconsin, St. Croix County	N of Hudson at E-end of Lake Mallalieu, SE of road, Sec. 18, T29N, R19W	69752	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=69752
ASU	1.95	J.W. Thomson	Minnesota	Hubbard	47.226071,-95.194981	NA	Minnesota, Clearwater County	La Salle Creek Valley, Lake Itasca Biological Station	77847	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=77847
ASU	0.94	T.H. Nash III	Minnesota	Clearwater	47.234081,-95.156989	ASUL034395	Minnesota, Hubbard County	LaSalle Bog, Itasca State Park	35566	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=35566
ASU	0.94	T.H. Nash III	Minnesota	Clearwater	47.234081,-95.156989	NA	Minnesota, Hubbard County	LaSalle Bog, Itasca State Park	35568	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=35568
ASU	0.94	T.H. Nash III	Minnesota	Clearwater	47.234081,-95.156989	ASUL015198	Minnesota, Hubbard County	LaSalle Bog, Itasca State Park	35569	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=35569
ASU	0.94	T.H. Nash III	Minnesota	Clearwater	47.234081,-95.156989	ASUL024630	Minnesota, Hubbard County	LaSalle Bog, Itasca State Park	35570	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=35570
ASU	0.94	T.H. Nash III	Minnesota	Clearwater	47.234081,-95.156989	NA	Minnesota, Hubbard County	LaSalle Bog, Itasca State Park	35571	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=35571
ASU	0.94	T.H. Nash III	Minnesota	Clearwater	47.234081,-95.156989	ASUL046304	Minnesota, Hubbard County	LaSalle Bog, Itasca State Park	49932	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=49932
ASU	0.94	T.H. Nash III	Minnesota	Clearwater	47.234081,-95.156989	NA	Minnesota, Hubbard County	LaSalle Bog, Itasca State Park	62689	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=62689
ASU	0.94	T.H. Nash III	Minnesota	Clearwater	47.234081,-95.156989	NA	Minnesota, Hubbard County	LaSalle Bog, Itasca State Park	62789	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=62789
ASU	0.94	T.H. Nash III	Minnesota	Clearwater	47.234081,-95.156989	NA	Minnesota, Hubbard County	LaSalle Bog, Itasca State Park	62981	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=62981
ASU	0.94	T.H. Nash III	Minnesota	Clearwater	47.234081,-95.156989	ASUL033931	Minnesota, Hubbard County	LaSalle Bog, Itasca State Park	63077	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=63077
ASU	0.61	T.H. Nash III	Minnesota	Clearwater	47.243675,-95.161452	ASUL011699	Minnesota, Hubbard County	LaSalle Bog, 0.8 km N of Itasca State Park	49952	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=49952
ASU	0.61	T.H. Nash III	Minnesota	Clearwater	47.243675,-95.161452	ASUL001267	Minnesota, Hubbard County	LaSalle Bog, 0.8 km N of Itasca State Park	49954	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=49954
ASU	0.27	Clifford M. Wetmore	Minnesota	Saint Louis	48.603,-93.093	NA	Minnesota, Koochiching County	Voyageurs National Park, small outside isalnd E of Dove Bay in western Rainy Lake, Sec 30, T71N, R21W	83364	outside_boundary_standardized_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=83364
ASU	0.18	Clifford M. Wetmore	Minnesota	Cass	47.024936,-94.66635	NA	Minnesota, Hubbard County	10 km SW of Walker along highway 34	82421	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=82421
ASU	0.01	Clifford M. Wetmore	Minnesota	Chisago	45.3166667,-92.7166667	NA	Wisconsin, Polk County	0.8 km W of St. Croix River on road to Osceola, Wisc. (9.6 km S of Taylors Falls)	67551	outside_boundary_exact	https://lichenportal.org/portal/collections/individual/index.php?occid=67551
