herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
UCR(temp)	2595322	UCR(temp)	James Lendemer	Maryland	Dorchester	79.84	outside_boundary_exact	not_found_in_US	38.658889,-74.781667	SBBG008728L	Idylwild State Wildlife Management area, c. 2.5 miles SW of Ferderalsburg, along Tara Road	https://lichenportal.org/portal/collections/individual/index.php?occid=2595322	COUNTRY	1000
MONT	1460988	MONT	Thomas A. Williams	Maryland	Montgomery	0.8	outside_boundary_exact	District of Columbia, District of Columbia County	38.966667,-77.016667	MONT-L-0005998	Takoma Park, D.C.	https://lichenportal.org/portal/collections/individual/index.php?occid=1460988	COUNTRY	1000
ILL	1508315	ILL	G.P.C.	Maryland	Flintstone	NA	county_not_matched_no_match	county_not_matched	39.7,-78.5667	ILL00038091	NA	https://lichenportal.org/portal/collections/individual/index.php?occid=1508315	COUNTRY	1000
KANU	5410950	KANU	Willis E Maneval	Maryland	Baltimore Independent City	NA	county_not_matched_no_match	county_not_matched	39.290385,-76.612189	414167	Baltimore: near	https://lichenportal.org/portal/collections/individual/index.php?occid=5410950	COUNTRY	1000
UWO	3776817	UWO	L. Orloci	Maryland	Ganet	NA	county_not_matched_no_match	county_not_matched	39.539155,-79.4821	708	Cranesville swamp	https://lichenportal.org/portal/collections/individual/index.php?occid=3776817	COUNTRY	1000
UWO	3776818	UWO	L.Orloci	Maryland	Ganet	NA	county_not_matched_no_match	county_not_matched	39.53,-79.48	7	Cranesville swamp	https://lichenportal.org/portal/collections/individual/index.php?occid=3776818	COUNTRY	1000
UWO	3776819	UWO	L. Orloci	Maryland	Ganet	NA	county_not_matched_no_match	county_not_matched	39.53,-79.48	8	Cranesville swamp	https://lichenportal.org/portal/collections/individual/index.php?occid=3776819	COUNTRY	1000
UWO	3776822	UWO	L. Orloci	Maryland	Ganet	NA	county_not_matched_no_match	county_not_matched	39.53,-79.48	11	Cranesville swamp	https://lichenportal.org/portal/collections/individual/index.php?occid=3776822	COUNTRY	1000
UWO	3776830	UWO	L.Orloci	Maryland	Ganet	NA	county_not_matched_no_match	county_not_matched	39.53,-79.48	19	Cranesville swamp	https://lichenportal.org/portal/collections/individual/index.php?occid=3776830	COUNTRY	1000
UWO	3776833	UWO	L.Orloci	Maryland	Ganet	NA	county_not_matched_no_match	county_not_matched	39.53,-79.48	22	Cranesville swamp	https://lichenportal.org/portal/collections/individual/index.php?occid=3776833	COUNTRY	1000
UWO	3776837	UWO	L.Orloci	Maryland	Ganet	NA	county_not_matched_no_match	county_not_matched	39.53,-79.48	26	Cranesville swamp	https://lichenportal.org/portal/collections/individual/index.php?occid=3776837	COUNTRY	1000
KANU	1757480	KANU	Charles W Demoise	Maryland	Somerset	325.84	outside_boundary_exact	Pennsylvania, Somerset County	39.796391,-79.246376	2216	Glade run, near PA state line	https://lichenportal.org/portal/collections/individual/index.php?occid=1757480	STATE	100
GMUF	3566736	GMUF	Lawrey, J.	Maryland	Prince Georges	76.67	outside_boundary_standardized_exact	Virginia, Fauquier County	38.97808333,-77.90461111	GMUF-0016501	Greenbelt Park; Park Central Rd from entrance S to Campground area, Loop D campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=3566736	STATE	100
GMUF	3566753	GMUF	Lawrey, J.	Maryland	Prince Georges	76.67	outside_boundary_standardized_exact	Virginia, Fauquier County	38.97808333,-77.90461111	GMUF-0016509	Greenbelt Park; Park Central Rd from entrance S to Campground area, Loop D campground.	https://lichenportal.org/portal/collections/individual/index.php?occid=3566753	STATE	100
KANU	1327889	KANU	James C Lendemer	Maryland	Cecil	14.78	outside_boundary_exact	Delaware, New Castle County	39.5361111,-75.6055556	382961	Elk Neck State Forest: Black Hill Tract	https://lichenportal.org/portal/collections/individual/index.php?occid=1327889	STATE	100
SBBG	1315650	SBBG	J. Lendemer	Maryland	Cecil	14.78	outside_boundary_exact	Delaware, New Castle County	39.536111,-75.605556	NA	Elk Neck St Forest; Black Hill Tract, Black Hill 0.1 mile S of McKinhneytown Rd	https://lichenportal.org/portal/collections/individual/index.php?occid=1315650	STATE	100
KANU	1334206	KANU	James C Lendemer	Maryland	Cecil	3.46	outside_boundary_exact	Pennsylvania, Lancaster County	39.7522222,-76.1902778	380119	Pilot: ca 0.75 mi SE	https://lichenportal.org/portal/collections/individual/index.php?occid=1334206	STATE	100
KANU	1338554	KANU	James C Lendemer	Maryland	Cecil	3.46	outside_boundary_exact	Pennsylvania, Lancaster County	39.7522222,-76.1902778	380407	Pilot: ca 0.75 mi SE	https://lichenportal.org/portal/collections/individual/index.php?occid=1338554	STATE	100
ASU	4660172	ASU	Jason Hollinger	Maryland	Worchester	32.4	outside_boundary_similarity_0.8	Maryland, Worcester County	38.041,-75.645	NA	Hickory Point Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=4660172	COUNTY	10
ASU	4660173	ASU	Jason Hollinger	Maryland	Worchester	32.4	outside_boundary_similarity_0.8	Maryland, Worcester County	38.041,-75.645	NA	Hickory Point Natural Area	https://lichenportal.org/portal/collections/individual/index.php?occid=4660173	COUNTY	10
