herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
ISC	5639994	ISC	J. Pearson	Iowa	Lucas	12516.75	outside_boundary_exact	not_found_in_US	41.06964,93.17433	ISC0874798	Cedar Creek Unit, Stephens State Forest; SE1/4, NE1/4, Sec 05, T72N, R20W	https://lichenportal.org/portal/collections/individual/index.php?occid=5639994	COUNTRY	1000
ISC	5639987	ISC	J. Pearson	Iowa	Clarke	12482.01	outside_boundary_exact	not_found_in_US	40.95705,93.5984	ISC0874792	Woodburn unit, Stephens State Forest; NW1/4, NW1/4, Sec14, T71N, R24W	https://lichenportal.org/portal/collections/individual/index.php?occid=5639987	COUNTRY	1000
ISC	5639986	ISC	J. Pearson	Iowa	Marion	12471.11	outside_boundary_exact	not_found_in_US	41.42065,93.08595	ISC0874790	Cordova County Park; NE1/4, NE1/4, Sec 6, T76N, R19W	https://lichenportal.org/portal/collections/individual/index.php?occid=5639986	COUNTRY	1000
ISC	5639990	ISC	J. Pearson	Iowa	Marion	12471.11	outside_boundary_exact	not_found_in_US	41.42065,93.08595	ISC0874791	Cordova County Park; NE1/4, NE1/4, Sec 6, T76N, R19W	https://lichenportal.org/portal/collections/individual/index.php?occid=5639990	COUNTRY	1000
ISC	5639989	ISC	J. Pearson	Iowa	Warren	12440.07	outside_boundary_exact	not_found_in_US	41.24574,93.53179	ISC0874796	Otter Creek County Park; NE1/4, NW1/4, Sec 05, T74N, R23W	https://lichenportal.org/portal/collections/individual/index.php?occid=5639989	COUNTRY	1000
ISC	5639988	ISC	J. Pearson	Iowa	Warren	12432.93	outside_boundary_exact	not_found_in_US	41.29481,93.58665	ISC0874793	Lake Ahquabi State Park; SW1/4, SE1/4, Sec 14, T75N, R24W	https://lichenportal.org/portal/collections/individual/index.php?occid=5639988	COUNTRY	1000
ISC	5639985	ISC	J. Pearson	Iowa	Fayette	12327.62	outside_boundary_exact	not_found_in_US	42.880003,91.78796	ISC0874789	Volga River Recreation Area; NE 1/4 SE1/4, Sec. 9, T93N, R08W.	https://lichenportal.org/portal/collections/individual/index.php?occid=5639985	COUNTRY	1000
ISC	5640005	ISC	J. Pearson	Iowa	Fayette	12325.51	outside_boundary_exact	not_found_in_US	42.98256,91.64304	ISC0874799	Clermont Sand Prairie; NW1/4, SW1/4, Sec 02, T94N, R07W	https://lichenportal.org/portal/collections/individual/index.php?occid=5640005	COUNTRY	1000
ISC	5639998	ISC	M.K. Advaita	Iowa	Plymouth	11948.77	outside_boundary_exact	not_found_in_US	42.6766,95.5445	ISC0874805	Five Ridge Prairie State Preserve, top of Ridge 5	https://lichenportal.org/portal/collections/individual/index.php?occid=5639998	COUNTRY	1000
ISC	4833203	ISC	Colbert Class	Iowa	Dickinson	4189.9	outside_boundary_exact	not_found_in_US	4.345582,-94.593626	874481	Lakeside Laboratory	https://lichenportal.org/portal/collections/individual/index.php?occid=4833203	COUNTRY	1000
ISC	3432470	ISC	Colbert Class	Iowa	USA	NA	county_not_matched_no_match	county_not_matched	42.381209,-93.048833	874158	Pine Lake State Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3432470	COUNTRY	1000
MSC	278052	MSC	Fink, Bruce	Iowa	Brewer	NA	county_not_matched_no_match	county_not_matched	42.774587,-92.318055	MSC0082326	;	https://lichenportal.org/portal/collections/individual/index.php?occid=278052	COUNTRY	1000
WIS	2566925	WIS	Bruce Fink	Iowa	Brewer	NA	county_not_matched_no_match	county_not_matched	42.773156,-92.393597	WIS-L-0086683	no additional information given	https://lichenportal.org/portal/collections/individual/index.php?occid=2566925	COUNTRY	1000
MSC	264173	MSC	Imshaug, Henry A	Iowa	Allamakee	1565.76	outside_boundary_exact	Louisiana, Plaquemines County	29.151058,-89.253384	MSC0069758	Iffigy Mounds National Monument., along Mississippi River.	https://lichenportal.org/portal/collections/individual/index.php?occid=264173	STATE	100
MSC	277962	MSC	Imshaug, Henry A	Iowa	Allamakee	1565.76	outside_boundary_exact	Louisiana, Plaquemines County	29.151058,-89.253384	MSC0082245	Effigy Mound National Mounument, bluffs along Mississippi River	https://lichenportal.org/portal/collections/individual/index.php?occid=277962	STATE	100
OS	1243391	OS	Bruce Fink	Iowa	Fayette	761.57	outside_boundary_exact	Ohio, Fayette County	39.559883,-83.456097	OS0001375	Fayette County	https://lichenportal.org/portal/collections/individual/index.php?occid=1243391	STATE	100
MSC	263945	MSC	Imshaug, Henry A	Iowa	Iowa	204.86	outside_boundary_exact	Wisconsin, Iowa County	43.149159,-90.045957	MSC0069552	Wisconsin; Tower Hills State Park, SE of Spring Green	https://lichenportal.org/portal/collections/individual/index.php?occid=263945	STATE	100
KANU	1648427	KANU	M K Advaita	Iowa	Clarke	96.98	outside_boundary_exact	Missouri, Grundy County	40.0335,-93.741	385926	Osceola: ca 3 mi S, 1 mi E	https://lichenportal.org/portal/collections/individual/index.php?occid=1648427	STATE	100
MIN	424244	MIN	Freeman, C.; Morse	Iowa	Monona	41.34	outside_boundary_exact	Nebraska, Washington County	41.4942,-96.0058	891171	Sw of Missouri Valley; Desoto Lake Wildlife Area	https://lichenportal.org/portal/collections/individual/index.php?occid=424244	STATE	100
WIS	970178	WIS	B. Shimek	Iowa	Winneshiek	2.37	outside_boundary_exact	Minnesota, Houston County	43.521967,-91.700506	WIS-L-0014037	NE of Hesper	https://lichenportal.org/portal/collections/individual/index.php?occid=970178	STATE	100
KANU	1326431	KANU	Craig C Freeman; Caleb A Morse	Iowa	Harrison	1.63	outside_boundary_exact	Nebraska, Washington County	41.4942,-96.0058	370811	Missouri Valley: 4 mi S, 4.5 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1326431	STATE	100
KANU	1327100	KANU	Craig C Freeman; Caleb A Morse	Iowa	Harrison	1.63	outside_boundary_exact	Nebraska, Washington County	41.4942,-96.0058	370810	Missouri Valley: 4 mi S, 4.5 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1327100	STATE	100
KANU	1327702	KANU	Craig C Freeman; Caleb A Morse	Iowa	Harrison	1.63	outside_boundary_exact	Nebraska, Washington County	41.4942,-96.0058	370814	Missouri Valley: 4 mi S, 4.5 mi W	https://lichenportal.org/portal/collections/individual/index.php?occid=1327702	STATE	100
