error_type	priority	herbarium	id	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link
COUNTRY	1000	SRP	3352496	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887.<br/>	https://lichenportal.org/portal/collections/individual/index.php?occid=3352496
COUNTRY	1000	SRP	3352498	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887	https://lichenportal.org/portal/collections/individual/index.php?occid=3352498
COUNTRY	1000	SRP	3352499	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887.	https://lichenportal.org/portal/collections/individual/index.php?occid=3352499
COUNTRY	1000	SRP	3352500	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887.	https://lichenportal.org/portal/collections/individual/index.php?occid=3352500
COUNTRY	1000	SRP	3352501	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords Naional Park. Waypoint 887.	https://lichenportal.org/portal/collections/individual/index.php?occid=3352501
COUNTRY	1000	SRP	3352504	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887.	https://lichenportal.org/portal/collections/individual/index.php?occid=3352504
COUNTRY	1000	SRP	3352506	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887	https://lichenportal.org/portal/collections/individual/index.php?occid=3352506
COUNTRY	1000	SRP	3352507	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887.	https://lichenportal.org/portal/collections/individual/index.php?occid=3352507
COUNTRY	1000	SRP	3352508	R. Rosentreter	Alaska	Kenai Peninsula	3376.36	outside_boundary_exact	not_found_in_US	59.5838,150.4199	NA	Near mouth of creek at north end of James Lagoon, Kenai Fjords National Park. Waypoint 887.	https://lichenportal.org/portal/collections/individual/index.php?occid=3352508
COUNTRY	1000	SRP	3352471	R. Rosentreter	Alaska	Kenai Peninsula	3370.96	outside_boundary_exact	not_found_in_US	59.5934,150.5055	NA	North Point of Pilot Harbor on North Arm of Nuka Bay, Kenai Fjords National park, waypoint 866	https://lichenportal.org/portal/collections/individual/index.php?occid=3352471
COUNTRY	1000	SRP	3352472	Roger Rosentreter	Alaska	Kenai Peninsula	3370.96	outside_boundary_exact	not_found_in_US	59.5934,150.5055	NA	North of Pilot Harbor on North Arm of Nuka Bay, Kenai Fjords National Park, waypoint 866	https://lichenportal.org/portal/collections/individual/index.php?occid=3352472
COUNTRY	1000	SRP	3352473	R. Rosentreter	Alaska	Kenai Peninsula	3370.96	outside_boundary_exact	not_found_in_US	59.5934,150.5055	NA	North of Pilot Harbor on North Arm of Nuka Bay, Kenai Fjords National Park, waypoint 866	https://lichenportal.org/portal/collections/individual/index.php?occid=3352473
COUNTRY	1000	SRP	3352475	R. Rosentreter	Alaska	Kenai Peninsula	3370.96	outside_boundary_exact	not_found_in_US	59.5934,150.5055	NA	North of Pilot Harbor on North Arm of Nuka Bay, Kenai Fjords National Park, waypoint 866	https://lichenportal.org/portal/collections/individual/index.php?occid=3352475
COUNTRY	1000	SRP	3352476	R. Rosentreter	Alaska	Kenai Peninsula	3370.96	outside_boundary_exact	not_found_in_US	59.5934,150.5055	NA	North of Pilot Harbor on North Arm of Nuka Bay, Kenai Fjords National Park, waypoint 866	https://lichenportal.org/portal/collections/individual/index.php?occid=3352476
COUNTRY	1000	SRP	3352447	Roger Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore of Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352447
COUNTRY	1000	SRP	3352453	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352453
COUNTRY	1000	SRP	3352454	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore of Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352454
COUNTRY	1000	SRP	3352455	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352455
COUNTRY	1000	SRP	3352457	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352457
COUNTRY	1000	SRP	3352458	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352458
COUNTRY	1000	SRP	3352459	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352459
COUNTRY	1000	SRP	3352460	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoiint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352460
COUNTRY	1000	SRP	3352461	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352461
COUNTRY	1000	SRP	3352462	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352462
COUNTRY	1000	SRP	3352463	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352463
COUNTRY	1000	SRP	3352464	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352464
COUNTRY	1000	SRP	3352466	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352466
COUNTRY	1000	SRP	3352467	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352467
COUNTRY	1000	SRP	3352468	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352468
COUNTRY	1000	SRP	3352469	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352469
COUNTRY	1000	SRP	3352470	R. Rosentreter	Alaska	Kenai Peninsula	3362.87	outside_boundary_exact	not_found_in_US	59.5412,150.6649	NA	waypoint 859, west shore Beauty Bay, Kenai Fjords National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=3352470
COUNTRY	1000	SRP	3352278	Roger Rosentreter	Alaska	Lake and Peninsula	2928.79	outside_boundary_exact	not_found_in_US	60.37672,153.93924	SRP-0000000	Shore of Lake Clark ca. 30 km NE of Port Alsworth, W of Hatchet Point, Lake Clark National Park.	https://lichenportal.org/portal/collections/individual/index.php?occid=3352278
