herbarium	id	institutionCode	recordedBy	state	county	distance_km	status	implied_location	coordinates	catalogNumber	locality	record_link	COUNTRY	1000
F	5809279	F	B. Moncada & R. Lücking	Hawaii	Maui	4913.32	outside_boundary_exact	not_found_in_US	20.8592,156.1536	C0244320F	East Maui, north coast, Hana Highway, Nua ailua Bay Scenic Lookout, 55 km ESE of Kahului, mile 16 on Hana Highway, along highway (north side)	https://lichenportal.org/portal/collections/individual/index.php?occid=5809279	COUNTRY	1000
F	5809181	F	B. Moncada & R. Lücking	Hawaii	Maui	4910.39	outside_boundary_exact	not_found_in_US	20.8694,156.1792	C0244222F	East Maui, north coast, Hana Highway, bordering Garden of Eden Botanical Arboretum, 50 km ESE of Kahului, mile 10 on Hana Highway, along highway (north side)	https://lichenportal.org/portal/collections/individual/index.php?occid=5809181	COUNTRY	1000
F	5809182	F	B. Moncada & R. Lücking	Hawaii	Maui	4910.39	outside_boundary_exact	not_found_in_US	20.8694,156.1792	C0244223F	East Maui, north coast, Hana Highway, bordering Garden of Eden Botanical Arboretum, 50 km ESE of Kahului, mile 10 on Hana Highway, along highway (north side)	https://lichenportal.org/portal/collections/individual/index.php?occid=5809182	COUNTRY	1000
F	5809218	F	B. Moncada & R. Lücking	Hawaii	Maui	4910.39	outside_boundary_exact	not_found_in_US	20.8694,156.1792	C0244259F	East Maui, north coast, Hana Highway, bordering Garden of Eden Botanical Arboretum, 50 km ESE of Kahului, mile 10 on Hana Highway, along highway (north side)	https://lichenportal.org/portal/collections/individual/index.php?occid=5809218	COUNTRY	1000
F	5809278	F	B. Moncada & R. Lücking	Hawaii	Maui	4910.39	outside_boundary_exact	not_found_in_US	20.8694,156.1792	C0244319F	East Maui, north coast, Hana Highway, bordering Garden of Eden Botanical Arboretum, 50 km ESE of Kahului, mile 10 on Hana Highway, along highway (north side)	https://lichenportal.org/portal/collections/individual/index.php?occid=5809278	COUNTRY	1000
F	5809188	F	B. Moncada et al.	Hawaii	Maui	4906.98	outside_boundary_exact	not_found_in_US	20.7686,156.2381	C0244229F	East Maui, Haleakal Volcano, Upper Waikamoi Preserve (The Nature Conservancy), 12 km SE of Pulakani and 25 km SE of Kahului, upper access trail to preserve bordering Haleakal National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5809188	COUNTRY	1000
F	5809189	F	B. Moncada et al.	Hawaii	Maui	4906.98	outside_boundary_exact	not_found_in_US	20.7686,156.2381	C0244230F	East Maui, Haleakal Volcano, Upper Waikamoi Preserve (The Nature Conservancy), 12 km SE of Pulakani and 25 km SE of Kahului, upper access trail to preserve bordering Haleakal National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5809189	COUNTRY	1000
F	5809190	F	B. Moncada et al.	Hawaii	Maui	4906.98	outside_boundary_exact	not_found_in_US	20.7686,156.2381	C0244231F	East Maui, Haleakal Volcano, Upper Waikamoi Preserve (The Nature Conservancy), 12 km SE of Pulakani and 25 km SE of Kahului, upper access trail to preserve bordering Haleakal National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5809190	COUNTRY	1000
F	5809191	F	B. Moncada et al.	Hawaii	Maui	4906.98	outside_boundary_exact	not_found_in_US	20.7686,156.2381	C0244232F	East Maui, Haleakal Volcano, Upper Waikamoi Preserve (The Nature Conservancy), 12 km SE of Pulakani and 25 km SE of Kahului, upper access trail to preserve bordering Haleakal National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5809191	COUNTRY	1000
F	5809192	F	B. Moncada et al.	Hawaii	Maui	4906.98	outside_boundary_exact	not_found_in_US	20.7686,156.2381	C0244233F	East Maui, Haleakal Volcano, Upper Waikamoi Preserve (The Nature Conservancy), 12 km SE of Pulakani and 25 km SE of Kahului, upper access trail to preserve bordering Haleakal National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5809192	COUNTRY	1000
F	5809193	F	B. Moncada et al.	Hawaii	Maui	4906.98	outside_boundary_exact	not_found_in_US	20.7686,156.2381	C0244234F	East Maui, Haleakal Volcano, Upper Waikamoi Preserve (The Nature Conservancy), 12 km SE of Pulakani and 25 km SE of Kahului, upper access trail to preserve bordering Haleakal National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5809193	COUNTRY	1000
F	5809194	F	B. Moncada et al.	Hawaii	Maui	4906.98	outside_boundary_exact	not_found_in_US	20.7686,156.2381	C0244235F	East Maui, Haleakal Volcano, Upper Waikamoi Preserve (The Nature Conservancy), 12 km SE of Pulakani and 25 km SE of Kahului, upper access trail to preserve bordering Haleakal National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5809194	COUNTRY	1000
F	5809195	F	B. Moncada et al.	Hawaii	Maui	4906.98	outside_boundary_exact	not_found_in_US	20.7686,156.2381	C0244236F	East Maui, Haleakal Volcano, Upper Waikamoi Preserve (The Nature Conservancy), 12 km SE of Pulakani and 25 km SE of Kahului, upper access trail to preserve bordering Haleakal National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5809195	COUNTRY	1000
F	5809196	F	B. Moncada et al.	Hawaii	Maui	4906.98	outside_boundary_exact	not_found_in_US	20.7686,156.2381	C0244237F	East Maui, Haleakal Volcano, Upper Waikamoi Preserve (The Nature Conservancy), 12 km SE of Pulakani and 25 km SE of Kahului, upper access trail to preserve bordering Haleakal National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5809196	COUNTRY	1000
F	5809197	F	B. Moncada et al.	Hawaii	Maui	4906.98	outside_boundary_exact	not_found_in_US	20.7686,156.2381	C0244238F	East Maui, Haleakal Volcano, Upper Waikamoi Preserve (The Nature Conservancy), 12 km SE of Pulakani and 25 km SE of Kahului, upper access trail to preserve bordering Haleakal National Park	https://lichenportal.org/portal/collections/individual/index.php?occid=5809197	COUNTRY	1000
